,precision,recall,f1-score,support
normal,0.0,0.0,0.0,7.0
board_drop,0.6363636363636364,0.875,0.7368421052631579,8.0
no_gloves,0.3,0.6,0.4,5.0
single_hand_or_drag,0.0,0.0,0.0,4.0
touch_face,0.8823529411764706,1.0,0.9375,15.0
accuracy,0.6410256410256411,0.6410256410256411,0.6410256410256411,0.6410256410256411
macro avg,0.36374331550802136,0.495,0.41486842105263155,39.0
weighted avg,0.508364184834773,0.6410256410256411,0.5630060728744939,39.0
