fold,epoch,phase,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,elapsed_minutes
0,1,head,0.001,1.5944669246673584,0.375,0.2444444444444444,2.179272437095642,0.1,0.0363636363636363,1.590127909183502
0,2,head,0.0009330127018922,1.6441495319207509,0.375,0.2593939393939394,1.6193261384963988,0.5,0.2571428571428571,3.167980043093364
0,3,head,0.00075,1.4144253929456074,0.5833333333333334,0.5301587301587302,1.2768144369125367,0.5,0.3333333333333333,4.62105640967687
0,4,head,0.0005,1.3435147653023405,0.4166666666666667,0.4044444444444444,1.183450162410736,0.6,0.36,5.837529051303863
0,5,head,0.00025,1.1599352757136028,0.75,0.7335497835497835,1.1343671917915343,0.6,0.36,7.018549732367197
0,6,head,6.698729810778065e-05,1.1146081338326137,0.7083333333333334,0.6828571428571429,1.1331415891647338,0.6,0.36,8.222698549429575
0,7,finetune,5e-05,1.3017471929391224,0.5,0.5133333333333333,1.2363866925239564,0.7,0.4333333333333333,9.492679198582968
0,8,finetune,4.877641290737884e-05,1.1735994070768356,0.75,0.6327777777777778,1.2519677400588989,0.6,0.3142857142857143,10.757119754950203
0,9,finetune,4.522542485937368e-05,1.2625996669133503,0.625,0.6246020646020647,1.1948398232460022,0.6,0.38,11.925994439919789
0,10,finetune,3.969463130731183e-05,1.1678319921096163,0.625,0.5533333333333335,1.1760918140411376,0.7,0.4599999999999999,13.19162540435791
0,11,finetune,3.2725424859373684e-05,1.2398974498112996,0.5416666666666666,0.4988344988344987,1.1579882740974423,0.7,0.4599999999999999,14.427818393707277
0,12,finetune,2.5e-05,1.162794977426529,0.7083333333333334,0.6476190476190476,1.164794874191284,0.7,0.4599999999999999,15.654559048016866
0,13,finetune,1.7274575140626315e-05,1.110817442337672,0.7083333333333334,0.6657142857142857,1.1220097184181212,0.7,0.4599999999999999,16.81538263956706
0,14,finetune,1.0305368692688173e-05,1.1417187203963597,0.8333333333333334,0.8522727272727273,1.1283934950828551,0.8,0.6266666666666667,18.009056762854257
0,15,finetune,4.774575140626316e-06,1.1263557821512222,0.75,0.7446153846153847,1.1258896231651303,0.7,0.4599999999999999,19.213493518034618
0,16,finetune,1.2235870926211614e-06,1.1823775122563045,0.5416666666666666,0.4138528138528138,1.1358017206192017,0.7,0.4599999999999999,20.494311904907228
1,1,head,0.001,1.7733947038650513,0.25,0.1422222222222222,1.259450662136078,0.5,0.2571428571428571,1.0800633947054543
1,2,head,0.0009330127018922,1.6318350931008656,0.375,0.2265734265734265,1.2861738443374633,0.6,0.3,2.224493594964345
1,3,head,0.00075,1.3608503838380177,0.4166666666666667,0.2871794871794871,1.3671489119529725,0.5,0.2571428571428571,3.3812087456385296
1,4,head,0.0005,1.2535463124513626,0.5833333333333334,0.3151515151515151,1.3193909645080566,0.5,0.2571428571428571,4.470829037825267
1,5,head,0.00025,1.180380647381147,0.5,0.2666666666666666,1.2678730368614195,0.6,0.4,5.479306956132253
1,6,head,6.698729810778065e-05,1.3152656803528469,0.5,0.3676190476190475,1.2162981927394867,0.6,0.4,6.490638546148936
1,7,finetune,5e-05,1.4783873955408733,0.3333333333333333,0.2833333333333333,1.1959442794322968,0.7,0.48,7.503558397293091
1,8,finetune,4.877641290737884e-05,1.378615289926529,0.4583333333333333,0.3642857142857142,1.1568720459938049,0.7,0.48,8.560191106796264
1,9,finetune,4.522542485937368e-05,1.2464049855868022,0.625,0.6075396825396825,1.1532004117965695,0.7,0.48,9.656930859883628
1,10,finetune,3.969463130731183e-05,1.355898842215538,0.7083333333333334,0.698095238095238,1.1594518542289731,0.7,0.48,10.744491549332936
1,11,finetune,3.2725424859373684e-05,1.2038374642531078,0.6666666666666666,0.6742857142857142,1.1358507812023162,0.6,0.4,11.748855888843536
1,12,finetune,2.5e-05,1.1818342953920364,0.5833333333333334,0.5811688311688312,1.1403654754161834,0.6,0.4,12.828132442633311
1,13,finetune,1.7274575140626315e-05,1.167067622145017,0.7916666666666666,0.7898989898989899,1.1249934077262878,0.6,0.4,13.88698259194692
2,1,head,0.001,1.4089635759592056,0.5,0.2184615384615384,3.11970493528578,0.2222222222222222,0.0727272727272727,1.79819495677948
2,2,head,0.0009330127018922,1.993990048766136,0.2916666666666667,0.0903225806451612,1.3658485147688124,0.6666666666666666,0.3142857142857143,2.836105855305989
2,3,head,0.00075,1.43238032857577,0.3333333333333333,0.3201515151515151,1.3306423558129206,0.5555555555555556,0.2666666666666666,3.810064725081126
2,4,head,0.0005,1.381409893433253,0.5416666666666666,0.5214285714285714,1.185422095987532,0.6666666666666666,0.4933333333333333,5.028401935100556
2,5,head,0.00025,1.2751204321781795,0.625,0.535934065934066,1.1349174777666728,0.6666666666666666,0.4444444444444445,6.259411311149597
2,6,head,6.698729810778065e-05,1.172595168153445,0.7083333333333334,0.615,1.1506781313154433,0.6666666666666666,0.4444444444444445,7.350776545206705
2,7,finetune,5e-05,1.2279841750860214,0.625,0.5862637362637363,1.1219997538460629,0.7777777777777778,0.5111111111111111,8.656862823168437
2,8,finetune,4.877641290737884e-05,1.254215031862259,0.5416666666666666,0.451010101010101,1.1054133971532183,0.7777777777777778,0.5111111111111111,9.78089374701182
2,9,finetune,4.522542485937368e-05,1.084054321050644,0.8333333333333334,0.7901515151515152,1.0860123501883612,0.7777777777777778,0.5599999999999999,10.97018735408783
2,10,finetune,3.969463130731183e-05,0.9438590308030448,0.9166666666666666,0.8929292929292929,1.0690483649571736,0.7777777777777778,0.5111111111111111,12.19044976234436
2,11,finetune,3.2725424859373684e-05,0.9114090750614802,0.9166666666666666,0.8929292929292929,1.0607985655466716,0.7777777777777778,0.5111111111111111,13.725836416085562
2,12,finetune,2.5e-05,1.041812519232432,0.6666666666666666,0.485,1.0514696968926325,0.7777777777777778,0.5599999999999999,14.94783067703247
2,13,finetune,1.7274575140626315e-05,1.2001578559478123,0.6666666666666666,0.5377777777777778,1.054575694931878,0.7777777777777778,0.5599999999999999,16.236338623364766
2,14,finetune,1.0305368692688173e-05,1.2056345293919246,0.625,0.5842424242424242,1.0186018745104473,0.7777777777777778,0.5111111111111111,17.445413446426393
2,15,finetune,4.774575140626316e-06,1.1352732082207997,0.7083333333333334,0.5866239316239316,1.0330962075127497,0.7777777777777778,0.5111111111111111,18.82565730015437
2,16,finetune,1.2235870926211614e-06,1.115697408715884,0.6666666666666666,0.6405194805194806,1.024375531408522,0.7777777777777778,0.5111111111111111,19.98972777525584
3,1,head,0.001,1.663832758863767,0.2916666666666667,0.1527272727272727,2.051647424697876,0.2,0.0666666666666666,1.165257736047109
3,2,head,0.0009330127018922,1.6613138715426128,0.375,0.2662337662337662,1.3795487999916076,0.4,0.2133333333333333,2.799748349189758
3,3,head,0.00075,1.309634546438853,0.5833333333333334,0.4933333333333333,1.4995883703231812,0.5,0.2714285714285714,5.070426305135091
3,4,head,0.0005,1.343916783730189,0.375,0.3288888888888889,1.2914994478225708,0.6,0.419047619047619,6.425288343429566
3,5,head,0.00025,1.1595088591178258,0.5833333333333334,0.5433333333333333,1.2338139295578003,0.5,0.3714285714285714,8.08369204600652
3,6,head,6.698729810778065e-05,1.188310533761978,0.6666666666666666,0.6217388167388167,1.2272653698921203,0.4,0.3047619047619047,9.299916791915894
3,7,finetune,5e-05,1.1778678198655446,0.6666666666666666,0.5064285714285715,1.26115620136261,0.6,0.419047619047619,10.791210961341855
3,8,finetune,4.877641290737884e-05,1.1345942964156468,0.75,0.6389233954451347,1.3147680521011351,0.6,0.4166666666666666,11.92651644150416
3,9,finetune,4.522542485937368e-05,1.087414522965749,0.7916666666666666,0.785563909774436,1.2622665882110595,0.7,0.5047619047619047,13.537818646430969
3,10,finetune,3.969463130731183e-05,0.978554666042328,0.8333333333333334,0.6873737373737374,1.259371078014374,0.7,0.5047619047619047,14.891128714879354
3,11,finetune,3.2725424859373684e-05,1.0520324558019638,0.7083333333333334,0.6437118437118438,1.2646894216537476,0.6,0.438095238095238,16.404649754365284
3,12,finetune,2.5e-05,1.080813392996788,0.7083333333333334,0.6611721611721613,1.2671029806137084,0.6,0.438095238095238,18.32563460667928
3,13,finetune,1.7274575140626315e-05,0.9536747137705484,0.8333333333333334,0.8121212121212121,1.2333349108695983,0.6,0.438095238095238,19.624298620224
3,14,finetune,1.0305368692688173e-05,0.9600227475166321,0.7916666666666666,0.7771428571428572,1.2572392106056214,0.6,0.43809523809523804,20.91164485613505
