,precision,recall,f1-score,support
normal,0.5833333333333334,0.4117647058823529,0.4827586206896552,34.0
board_drop,0.3076923076923077,0.5,0.38095238095238093,8.0
no_gloves,0.0,0.0,0.0,5.0
single_hand_or_drag,0.0,0.0,0.0,4.0
touch_face,0.6521739130434783,1.0,0.7894736842105263,15.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.3086399108138239,0.38235294117647056,0.3306369371705125,66.0
weighted avg,0.48602243167460557,0.5,0.4742957183973518,66.0
