fold,epoch,phase,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,elapsed_minutes
0,1,head,0.001,1.1585183190181851,0.53125,0.5034127920378582,0.9608248823455402,0.5535714285714286,0.5108556832694764,6.465189059575399
0,2,head,0.0009330127018922,0.9123685965314507,0.6484375,0.6276375615998256,1.4498007552964347,0.4107142857142857,0.3779289493575207,13.21575714747111
0,3,head,0.00075,0.8357967846095562,0.765625,0.734006734006734,1.047316644872938,0.6428571428571429,0.5622902834297138,20.239164141813912
0,4,head,0.0005,0.8183378172107041,0.734375,0.735869238131639,0.7907454509820256,0.8214285714285714,0.8015943641082686,26.98159164985021
0,5,head,0.00025,0.7589184180833399,0.8203125,0.824482617264723,0.8006240533930915,0.7321428571428571,0.7266997708174179,33.59792776902517
0,6,head,6.698729810778065e-05,0.7073923940770328,0.8359375,0.8344254032258065,0.7854493515832084,0.8392857142857143,0.8180147058823529,40.31453517278035
0,7,finetune,5e-05,0.7268007081001997,0.84375,0.8371687636489974,0.7571155450173787,0.7857142857142857,0.7635630498533724,47.23574866453807
0,8,finetune,4.877641290737884e-05,0.7665375028736889,0.765625,0.7479038074378885,0.7610719853213855,0.7857142857142857,0.7690310546481145,54.06284289757411
0,9,finetune,4.522542485937368e-05,0.6622163350693882,0.84375,0.8431385743725108,0.7193669974803925,0.8571428571428571,0.8384615384615384,60.73758896986644
0,10,finetune,3.969463130731183e-05,0.5844747736118734,0.9140625,0.904697363255424,0.7532707931739944,0.8035714285714286,0.782843137254902,67.53166623512904
0,11,finetune,3.2725424859373684e-05,0.6128297653049231,0.875,0.8657046160464072,0.7098358646035194,0.8571428571428571,0.834759154315606,74.30072964032492
0,12,finetune,2.5e-05,0.6617502081207931,0.8046875,0.8307386004255075,0.7277682444878987,0.7857142857142857,0.7695279866332498,81.16277355353037
0,13,finetune,1.7274575140626315e-05,0.585166641511023,0.8984375,0.890882945067587,0.711887104170663,0.875,0.8489583333333334,88.14303902387618
0,14,finetune,1.0305368692688173e-05,0.5657211812213063,0.921875,0.9170713545713544,0.6935167450989995,0.875,0.8416451969083548,95.1806895852089
0,15,finetune,4.774575140626316e-06,0.6086315964348614,0.8671875,0.8740940469921626,0.7226048016122409,0.8571428571428571,0.8335227272727272,101.8256680091222
0,16,finetune,1.2235870926211614e-06,0.5482052164152265,0.921875,0.9210758377425045,0.727103231208665,0.8035714285714286,0.782843137254902,108.69499192237852
1,1,head,0.001,1.2641402715817094,0.4921875,0.4680771490554099,1.4449707837331862,0.492063492063492,0.4506851764916281,7.010862112045288
1,2,head,0.0009330127018922,1.02453173417598,0.6328125,0.6382089004040225,0.9217657248179116,0.7142857142857143,0.6776396170889287,13.911398140589396
1,3,head,0.00075,0.8654369520954788,0.7265625,0.7490204942736589,0.9788575257573808,0.6349206349206349,0.6014831822056885,20.798222601413727
1,4,head,0.0005,0.8325311047956347,0.7109375,0.7353530157447044,0.8510831873568278,0.7301587301587301,0.7369642857142857,27.913927606741588
1,5,head,0.00025,0.7653155303560197,0.75,0.7437113249745064,0.8203653806731814,0.8095238095238095,0.7950501253132832,34.80049201250076
1,6,head,6.698729810778065e-05,0.7279004757292569,0.796875,0.796577191524,0.7970045634678432,0.8095238095238095,0.8056017491993102,42.00191061894099
1,7,finetune,5e-05,0.7044874364510179,0.859375,0.8558915780771926,0.8033482328293815,0.8095238095238095,0.766049423722058,49.05384129285813
1,8,finetune,4.877641290737884e-05,0.7289687860757113,0.8046875,0.8105275722129387,0.7687490738573528,0.7301587301587301,0.7086523125996811,56.04496789773305
1,9,finetune,4.522542485937368e-05,0.6649283524602652,0.875,0.8690927150187392,0.7517977938765571,0.7301587301587301,0.7213192721257238,63.29650408824285
1,10,finetune,3.969463130731183e-05,0.6194339129142463,0.859375,0.8583437353721329,0.7302125829552847,0.7777777777777778,0.7670177383592018,70.29408647616704
2,1,head,0.001,1.2659827582538128,0.453125,0.4187555456965395,1.021537218775068,0.5,0.4939795140023972,6.598106328646342
2,2,head,0.0009330127018922,0.9820095803588628,0.6640625,0.6486151977955257,0.9438680836132596,0.6071428571428571,0.5890804597701149,13.340533490975698
2,3,head,0.00075,0.8769690631888807,0.6640625,0.6528664184914186,0.8246303317802293,0.7321428571428571,0.6758333333333333,19.879214310646056
2,4,head,0.0005,0.8377022398635745,0.7109375,0.6935987410964017,0.93227205319064,0.7142857142857143,0.6595084409136047,26.74851676225662
2,5,head,0.00025,0.7327391938306391,0.78125,0.7787412587412588,0.7847173884510994,0.7678571428571429,0.7922427035330261,33.30320832331975
2,6,head,6.698729810778065e-05,0.7302413452416658,0.8046875,0.8136516406640246,0.7328617338623319,0.75,0.7761136712749616,39.63464512825012
2,7,finetune,5e-05,0.8058258546516299,0.78125,0.760349958949097,0.7690351988588061,0.7678571428571429,0.7801724137931034,45.87511458396912
2,8,finetune,4.877641290737884e-05,0.7623076653108001,0.7890625,0.763720265678097,0.7400999047926494,0.7678571428571429,0.7673712737127372,52.75077902873357
2,9,finetune,4.522542485937368e-05,0.6633377526886761,0.859375,0.8579658402520578,0.7133923832859311,0.7678571428571429,0.7927170868347339,59.31862012147904
2,10,finetune,3.969463130731183e-05,0.6955179208889604,0.8046875,0.8145305611413702,0.7037051916122437,0.75,0.777963027963028,65.96720754305521
2,11,finetune,3.2725424859373684e-05,0.669080282561481,0.8515625,0.8584635328756269,0.7506387957504818,0.7321428571428571,0.7461580086580086,72.74474585851034
2,12,finetune,2.5e-05,0.6331238830462098,0.8828125,0.8798218956283472,0.7521112752812249,0.7857142857142857,0.8072133458646616,79.46634447574615
2,13,finetune,1.7274575140626315e-05,0.6422859625890851,0.890625,0.8918183878522323,0.7015505092484611,0.75,0.777963027963028,86.03260594209036
2,14,finetune,1.0305368692688173e-05,0.6100859208963811,0.890625,0.8864613880742913,0.7044533512422017,0.7321428571428571,0.7354166666666666,92.80147602558137
2,15,finetune,4.774575140626316e-06,0.559457459487021,0.9296875,0.9332611036572638,0.7031868110810008,0.7678571428571429,0.7915883458646616,99.37220360040664
2,16,finetune,1.2235870926211614e-06,0.5312131703831255,0.9140625,0.9093358395989976,0.6867563309414046,0.7678571428571429,0.7927170868347339,105.9842620531718
3,1,head,0.001,1.3488033013418317,0.40625,0.40805422620942,1.0725318904845946,0.5967741935483871,0.3958333333333333,6.700644282499949
3,2,head,0.0009330127018922,0.8848244263790548,0.6953125,0.6546862504072746,1.0153344456226594,0.6129032258064516,0.5712233169129721,13.3778448621432
3,3,head,0.00075,0.7901356304064393,0.78125,0.7994890281232543,0.9412371237431804,0.7096774193548387,0.6350861944082283,20.15579574108124
3,4,head,0.0005,0.7742269830778241,0.78125,0.7934238641475483,0.9491508381982005,0.6935483870967742,0.6297979797979798,27.072421407699583
3,5,head,0.00025,0.8082584692165256,0.7578125,0.7696736099721174,0.9451119082589304,0.6129032258064516,0.6094885506650213,33.756878622372945
