,precision,recall,f1-score,support
normal,0.85,0.53125,0.6538461538461539,32.0
board_drop,0.4375,0.875,0.5833333333333334,8.0
single_hand,0.14285714285714285,0.25,0.18181818181818182,4.0
touch_face,0.875,0.9333333333333333,0.9032258064516129,15.0
accuracy,0.6610169491525424,0.6610169491525424,0.6610169491525424,0.6610169491525424
macro avg,0.5763392857142857,0.6473958333333334,0.5805558688623205,59.0
weighted avg,0.7524818401937046,0.6610169491525424,0.675684803623568,59.0
