fold,epoch,phase,lr,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,elapsed_minutes
0,1,head,0.001,1.3323806474606197,0.3333333333333333,0.25,1.045501708984375,0.7142857142857143,0.4097222222222222,1.0519307533899942
0,2,head,0.0009330127018922,1.2799379924933116,0.4166666666666667,0.4047619047619047,0.8510689735412598,0.8571428571428571,0.6309523809523809,2.078346820672353
0,3,head,0.00075,0.9686734428008398,0.7083333333333334,0.5784313725490196,0.7732221399034772,0.7857142857142857,0.45,3.140519245465597
0,4,head,0.0005,1.081526090701421,0.5416666666666666,0.5404761904761904,0.7493162538324084,0.7857142857142857,0.45,4.140196331342062
0,5,head,0.00025,1.0503094047307968,0.625,0.6293650793650793,0.7398020965712411,0.9285714285714286,0.7307692307692308,5.161017159620921
0,6,head,6.698729810778065e-05,0.9339915017286936,0.7083333333333334,0.6482371794871795,0.7213119353566851,0.9285714285714286,0.7307692307692308,6.14257839123408
0,7,finetune,5e-05,1.0182334631681442,0.4166666666666667,0.4274322169059011,0.7428544121129173,0.7857142857142857,0.45,7.170214784145355
0,8,finetune,4.877641290737884e-05,0.9277561455965042,0.625,0.5416666666666666,0.7976147191865104,0.8571428571428571,0.6309523809523809,8.192172745863596
0,9,finetune,4.522542485937368e-05,0.9988607813914616,0.7083333333333334,0.6756854256854257,0.76351284129279,0.8571428571428571,0.6309523809523809,9.21281123161316
0,10,finetune,3.969463130731183e-05,0.9100523491700492,0.75,0.7124999999999999,0.7765456054891858,0.9285714285714286,0.7307692307692308,10.25873589515686
1,1,head,0.001,1.451855440934499,0.3333333333333333,0.2838235294117647,0.94273140149958,0.6470588235294118,0.2923076923076923,1.0576535979906718
1,2,head,0.0009330127018922,1.5101356506347656,0.375,0.2777777777777778,0.9959906935691832,0.6470588235294118,0.425,2.155245161056518
1,3,head,0.00075,1.0588503330945969,0.625,0.4666666666666667,1.284700968686272,0.3529411764705882,0.4166666666666666,3.266875191529592
1,4,head,0.0005,1.0363264630238216,0.5833333333333334,0.5620905410379095,1.3264003431095797,0.3529411764705882,0.3214285714285714,4.459540867805481
1,5,head,0.00025,0.9996557633082072,0.5833333333333334,0.3791666666666666,1.3479483723640442,0.3529411764705882,0.3166666666666666,5.570624808470408
1,6,head,6.698729810778065e-05,1.0429036269585292,0.5416666666666666,0.4455128205128205,1.278930194237653,0.3529411764705882,0.3166666666666666,6.66417848666509
1,7,finetune,5e-05,1.204737827181816,0.4166666666666667,0.3875,1.1434221863746643,0.3529411764705882,0.3214285714285714,7.799019261201223
1,8,finetune,4.877641290737884e-05,1.2703812619050343,0.25,0.3125,1.0237414889475878,0.4117647058823529,0.3363636363636363,8.919151318073272
1,9,finetune,4.522542485937368e-05,1.0116414725780487,0.75,0.7248688811188811,0.9914536230704364,0.5882352941176471,0.4984126984126984,10.018040430545806
1,10,finetune,3.969463130731183e-05,0.8560351580381393,0.875,0.8451298701298701,0.9695613752393162,0.6470588235294118,0.5729166666666666,11.18968187570572
1,11,finetune,3.2725424859373684e-05,1.058955743908882,0.625,0.6461675579322639,0.9850626132067511,0.6470588235294118,0.60625,12.313457107543943
1,12,finetune,2.5e-05,0.9057561109463372,0.75,0.7335858585858586,0.9712935230311226,0.6470588235294118,0.60625,13.418268005053202
1,13,finetune,1.7274575140626315e-05,0.9237189640601476,0.7083333333333334,0.7071428571428571,0.9560552204356474,0.6470588235294118,0.60625,14.555345523357392
1,14,finetune,1.0305368692688173e-05,0.9966763705015182,0.7083333333333334,0.6730462519936204,0.9626041142379536,0.6470588235294118,0.60625,15.813187487920125
1,15,finetune,4.774575140626316e-06,0.9073670506477356,0.7916666666666666,0.7161172161172161,0.9356443285942078,0.7058823529411765,0.6264705882352941,16.98973545630773
1,16,finetune,1.2235870926211614e-06,0.9505094836155572,0.7083333333333334,0.7083333333333333,0.9488118588924408,0.7058823529411765,0.6264705882352941,18.11368894179662
2,1,head,0.001,1.3072674771149952,0.4583333333333333,0.2446236559139785,1.5932058004232554,0.1538461538461538,0.0666666666666666,1.050339392820994
2,2,head,0.0009330127018922,1.5584136694669724,0.2916666666666667,0.1810897435897436,1.0191668776365428,0.6153846153846154,0.4619047619047619,2.0214166402816773
2,3,head,0.00075,0.9684226761261622,0.75,0.6187782805429864,1.2279908955097198,0.5384615384615384,0.4,2.954286233584086
2,4,head,0.0005,0.9949669962128004,0.7083333333333334,0.5642857142857143,1.6518650536353772,0.3076923076923077,0.2708333333333333,3.942137376467387
2,5,head,0.00025,1.123267332712809,0.6666666666666666,0.5334429824561403,1.5089135949428265,0.3846153846153846,0.3809523809523809,4.978017433484395
2,6,head,6.698729810778065e-05,1.0213778018951416,0.7083333333333334,0.5928571428571429,1.4323700345479524,0.4615384615384615,0.4601190476190476,6.023839100201925
2,7,finetune,5e-05,1.2582356482744217,0.5,0.4673076923076923,1.2090238011800325,0.5384615384615384,0.5446428571428571,7.018024901549022
2,8,finetune,4.877641290737884e-05,1.0473739604155223,0.7083333333333334,0.6186507936507937,1.1629882569496448,0.6153846153846154,0.4803571428571428,7.986793128649394
2,9,finetune,4.522542485937368e-05,0.8955824921528498,0.8333333333333334,0.8331453634085213,1.138115623822579,0.6923076923076923,0.5359848484848485,9.038517204920453
2,10,finetune,3.969463130731183e-05,0.8695924083391825,0.7083333333333334,0.625,1.1330781899965727,0.6153846153846154,0.4803571428571428,10.071601728598276
2,11,finetune,3.2725424859373684e-05,0.845678890744845,0.75,0.5821449792038027,1.1048351503335512,0.6923076923076923,0.5359848484848485,11.12676686445872
3,1,head,0.001,1.4347999393939972,0.2916666666666667,0.175595238095238,1.4654768506685891,0.5333333333333333,0.1739130434782608,1.0031673351923625
3,2,head,0.0009330127018922,1.4473917384942372,0.2916666666666667,0.3060406698564593,1.260232297579447,0.3333333333333333,0.2019230769230769,2.0391146858533222
3,3,head,0.00075,1.214801013469696,0.5416666666666666,0.4429292929292929,1.1743945201237995,0.4666666666666667,0.4051948051948052,2.9808340469996133
3,4,head,0.0005,0.958316798011462,0.5833333333333334,0.5577294685990337,0.9581534544626872,0.6666666666666666,0.3984962406015037,3.9900133927663166
3,5,head,0.00025,0.975551853577296,0.7083333333333334,0.7049512987012987,0.947159787019094,0.6666666666666666,0.3984962406015037,5.009777065118154
3,6,head,6.698729810778065e-05,0.8701494783163071,0.8333333333333334,0.8333333333333333,0.9457633415857952,0.6666666666666666,0.3984962406015037,6.0092149178187055
3,7,finetune,5e-05,0.950255314509074,0.7083333333333334,0.6754785247432307,1.0344059030214945,0.6,0.3907563025210084,6.958226235707601
3,8,finetune,4.877641290737884e-05,1.0434770981470745,0.625,0.6185539606592237,1.1096484104792277,0.6,0.5476190476190476,7.909108074506124
3,9,finetune,4.522542485937368e-05,1.0813064376513164,0.5833333333333334,0.5128968253968254,1.148115833600362,0.5333333333333333,0.4413461538461538,8.893339029947917
3,10,finetune,3.969463130731183e-05,0.7442698031663895,0.9166666666666666,0.7272727272727273,1.1522454420725503,0.4,0.3498376623376623,9.956605231761932
3,11,finetune,3.2725424859373684e-05,0.975962057709694,0.6666666666666666,0.6729797979797979,1.1818780223528544,0.4,0.3498376623376623,10.932643179098765
3,12,finetune,2.4999999999999998e-05,0.9487136602401733,0.7083333333333334,0.5947712418300654,1.189991013209025,0.4,0.34983766233766234,11.925521167119344
