,precision,recall,f1-score,support
normal,0.7833333333333333,0.7121212121212122,0.746031746031746,66.0
board_drop,0.78125,0.7575757575757576,0.7692307692307693,33.0
single_hand,0.7816091954022989,0.8395061728395061,0.8095238095238095,81.0
touch_face,0.9655172413793104,0.9824561403508771,0.9739130434782609,57.0
accuracy,0.8270042194092827,0.8270042194092827,0.8270042194092827,0.8270042194092827
macro avg,0.8279274425287356,0.8229148207218383,0.8246748420661464,237.0
weighted avg,0.8262703695620545,0.8270042194092827,0.825768703259072,237.0
