,precision,recall,f1-score,support
normal,0.7931034482758621,0.71875,0.7540983606557377,32.0
board_drop,0.4,0.5,0.4444444444444444,8.0
single_hand,0.3333333333333333,0.25,0.2857142857142857,4.0
touch_face,0.8235294117647058,0.9333333333333333,0.875,15.0
accuracy,0.711864406779661,0.711864406779661,0.711864406779661,0.711864406779661
macro avg,0.5874915483434753,0.6005208333333334,0.589814272703617,59.0
weighted avg,0.7163658449937543,0.711864406779661,0.7110942413457,59.0
