epoch,phase,lr,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_minutes
1,head,0.001,0.8920664067195757,0.7614213197969543,0.6132926997148765,0.9811320754716981,5.42186385790507
2,head,0.0009045084971874737,0.489420124873292,0.9796954314720813,0.5387391875374992,1.0,11.075155572096508
3,head,0.0006545084971874737,0.4634235752415536,0.9898477157360406,0.5597051393310979,0.9811320754716981,16.66011766990026
4,head,0.00034549150281252633,0.442541760841602,1.0,0.5435720333513224,0.9811320754716981,22.225660105546314
5,head,9.549150281252633e-05,0.4397916978385848,1.0,0.5271150559749244,0.9811320754716981,27.90511360565821
6,finetune,0.0001,0.4899300575861471,0.9898477157360406,0.48181771444824506,0.9811320754716981,33.89753206173579
7,finetune,9.755282581475769e-05,0.4710265352641265,0.9898477157360406,0.47555766353067364,0.9811320754716981,39.619199673334755
8,finetune,9.045084971874737e-05,0.4659796435820875,0.9796954314720813,0.4785123591153127,0.9811320754716981,45.081443158785504
9,finetune,7.938926261462366e-05,0.4357459557237964,1.0,0.4594541979285906,0.9811320754716981,50.5600329875946
10,finetune,6.545084971874737e-05,0.42733562234694583,1.0,0.45344741726821325,1.0,56.09635362625122
11,finetune,4.9999999999999996e-05,0.41911860922266386,1.0,0.44624156771965745,1.0,61.50637290875117
