epoch,phase,lr,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_minutes
1,head,0.001,1.4199236801692419,0.3333333333333333,1.04274497287614,0.7142857142857143,0.9743421832720439
2,head,0.0009755282581475768,0.8626701775051299,0.8095238095238095,0.6553690646375928,0.8571428571428571,1.8989640514055888
3,head,0.0009045084971874736,0.6562150432949975,1.0,0.5396536844117301,1.0,2.7683582226435344
4,head,0.0007938926261462366,0.5260591904322306,1.0,0.5268884130886623,1.0,3.610566278298696
5,head,0.0006545084971874737,0.49559342293512254,1.0,0.5132591383797782,1.0,4.659393978118897
6,head,0.0005,0.44546487075941904,1.0,0.5075667585645404,1.0,5.774870991706848
7,head,0.00034549150281252633,0.4442995587984721,1.0,0.5063338535172599,1.0,6.788598303000132
8,head,0.0002061073738537635,0.4927745007333301,1.0,0.5156881468636649,1.0,7.806684386730194
9,head,9.549150281252634e-05,0.45320009049915133,1.0,0.5022930077144078,1.0,8.810131986935934
10,head,2.4471741852423235e-05,0.462317583106813,1.0,0.4953534688268389,1.0,9.905866984526316
11,finetune,5e-05,0.4837603001367478,1.0,0.4819227712494986,1.0,10.95894451936086
12,finetune,4.9453690018345144e-05,0.5473996372449965,0.9523809523809523,0.5105184870106834,1.0,12.009199364980061
13,finetune,4.783863644106502e-05,0.5083384641579219,1.0,0.5141872806208474,1.0,13.062978553771973
14,finetune,4.522542485937369e-05,0.473000358967554,1.0,0.5117359714848655,1.0,14.07387299935023
15,finetune,4.172826515897146e-05,0.46084111077444895,1.0,0.5214428177901677,1.0,15.14036039908727
16,finetune,3.7500000000000003e-05,0.48329992521376836,1.0,0.5153949729033879,1.0,16.206054639816283
