,precision,recall,f1-score,support
Basketball,1.0,1.0,1.0,2.0
PlayingDaf,1.0,1.0,1.0,1.0
HorseRace,1.0,1.0,1.0,2.0
HorseRiding,1.0,1.0,1.0,1.0
PlayingDhol,1.0,1.0,1.0,2.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,8.0
weighted avg,1.0,1.0,1.0,8.0
